K,skew,lname,lam,B,regime,cap_blocks,W,fcfs_recomp_mean,fcfs_recomp_std,pfa_recomp_mean,pfa_recomp_std,delta_mean,ci_lo,ci_hi,fcfs_hit,pfa_hit,fcfs_p99,pfa_p99,fair_ratio,fcfs_mean_wait,pfa_mean_wait
2,0.0,heavy,6.4,4,one,128,2,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,0.0,heavy,6.4,4,one,128,4,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,0.0,heavy,6.4,4,one,128,8,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,0.0,heavy,6.4,4,one,128,32,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,0.0,heavy,6.4,4,one,128,1000000000,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,0.0,heavy,6.4,4,few,256,1,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,0.0,heavy,6.4,4,few,256,2,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,0.0,heavy,6.4,4,few,256,4,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,0.0,heavy,6.4,4,few,256,8,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,0.0,heavy,6.4,4,few,256,32,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,0.0,heavy,6.4,4,few,256,1000000000,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,0.0,heavy,6.4,4,all,256,1,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,0.0,heavy,6.4,4,all,256,2,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,0.0,heavy,6.4,4,all,256,4,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,0.0,heavy,6.4,4,all,256,8,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,0.0,heavy,6.4,4,all,256,32,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,0.0,heavy,6.4,4,all,256,1000000000,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,0.0,heavy,25.6,16,one,128,1,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,0.0,heavy,25.6,16,one,128,2,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,0.0,heavy,25.6,16,one,128,4,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,0.0,heavy,25.6,16,one,128,8,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,0.0,heavy,25.6,16,one,128,32,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,0.0,heavy,25.6,16,one,128,1000000000,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,0.0,heavy,25.6,16,few,256,1,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,0.0,heavy,25.6,16,few,256,2,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,0.0,heavy,25.6,16,few,256,4,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,0.0,heavy,25.6,16,few,256,8,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,0.0,heavy,25.6,16,few,256,32,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,0.0,heavy,25.6,16,few,256,1000000000,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,0.0,heavy,25.6,16,all,256,1,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,0.0,heavy,25.6,16,all,256,2,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,0.0,heavy,25.6,16,all,256,4,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,0.0,heavy,25.6,16,all,256,8,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,0.0,heavy,25.6,16,all,256,32,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,0.0,heavy,25.6,16,all,256,1000000000,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,1.0,light,2.4,4,one,128,1,4778.666666666667,965.4364585800329,4778.666666666667,965.4364585800329,0,0.0,0.0,0.9922222222222222,0.9922222222222222,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,1.0,light,2.4,4,one,128,2,4778.666666666667,965.4364585800329,4778.666666666667,965.4364585800329,0,0.0,0.0,0.9922222222222222,0.9922222222222222,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,1.0,light,2.4,4,one,128,4,4778.666666666667,965.4364585800329,4778.666666666667,965.4364585800329,0,0.0,0.0,0.9922222222222222,0.9922222222222222,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,1.0,light,2.4,4,one,128,8,4778.666666666667,965.4364585800329,4778.666666666667,965.4364585800329,0,0.0,0.0,0.9922222222222222,0.9922222222222222,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,1.0,light,2.4,4,one,128,32,4778.666666666667,965.4364585800329,4778.666666666667,965.4364585800329,0,0.0,0.0,0.9922222222222222,0.9922222222222222,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,1.0,light,2.4,4,one,128,1000000000,4778.666666666667,965.4364585800329,4778.666666666667,965.4364585800329,0,0.0,0.0,0.9922222222222222,0.9922222222222222,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,1.0,light,2.4,4,few,256,1,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,1.0,light,2.4,4,few,256,2,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,1.0,light,2.4,4,few,256,4,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,1.0,light,2.4,4,few,256,8,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,1.0,light,2.4,4,few,256,32,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,1.0,light,2.4,4,few,256,1000000000,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,1.0,light,2.4,4,all,256,1,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,1.0,light,2.4,4,all,256,2,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,1.0,light,2.4,4,all,256,4,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,1.0,light,2.4,4,all,256,8,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,1.0,light,2.4,4,all,256,32,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,1.0,light,2.4,4,all,256,1000000000,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,1.0,light,9.6,16,one,128,1,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
2,1.0,light,9.6,16,one,128,2,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
2,1.0,light,9.6,16,one,128,4,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
2,1.0,light,9.6,16,one,128,8,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
2,1.0,light,9.6,16,one,128,32,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
2,1.0,light,9.6,16,one,128,1000000000,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
2,1.0,light,9.6,16,few,256,1,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
2,1.0,light,9.6,16,few,256,2,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
2,1.0,light,9.6,16,few,256,4,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
2,1.0,light,9.6,16,few,256,8,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
2,1.0,light,9.6,16,few,256,32,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
2,1.0,light,9.6,16,few,256,1000000000,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
2,1.0,light,9.6,16,all,256,1,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
2,1.0,light,9.6,16,all,256,2,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
2,1.0,light,9.6,16,all,256,4,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
2,1.0,light,9.6,16,all,256,8,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
2,1.0,light,9.6,16,all,256,32,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
2,1.0,light,9.6,16,all,256,1000000000,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
2,1.0,heavy,6.4,4,one,128,1,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,1.0,heavy,6.4,4,one,128,2,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,1.0,heavy,6.4,4,one,128,4,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,1.0,heavy,6.4,4,one,128,8,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,1.0,heavy,6.4,4,one,128,32,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,1.0,heavy,6.4,4,one,128,1000000000,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,1.0,heavy,6.4,4,few,256,1,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,1.0,heavy,6.4,4,few,256,2,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,1.0,heavy,6.4,4,few,256,4,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,1.0,heavy,6.4,4,few,256,8,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,1.0,heavy,6.4,4,few,256,32,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,1.0,heavy,6.4,4,few,256,1000000000,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,1.0,heavy,6.4,4,all,256,1,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,1.0,heavy,6.4,4,all,256,2,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,1.0,heavy,6.4,4,all,256,4,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,1.0,heavy,6.4,4,all,256,8,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,1.0,heavy,6.4,4,all,256,32,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,1.0,heavy,6.4,4,all,256,1000000000,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,26.690634437630035,26.690634437630035,1.0,12.821459820740374,12.821459820740374
2,1.0,heavy,25.6,16,one,128,1,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,1.0,heavy,25.6,16,one,128,2,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,1.0,heavy,25.6,16,one,128,4,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,1.0,heavy,25.6,16,one,128,8,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
2,1.0,heavy,25.6,16,one,128,32,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
